epoch,train_loss,val_loss,precision,recall,iou,dice,lr
1,0.828189,0.683655,0.517916,0.874371,0.475057,0.625887,0.00033333
2,0.534994,0.442303,0.785157,0.649026,0.543732,0.689620,0.00066667
3,0.435898,0.431645,0.817487,0.626000,0.537680,0.684647,0.00100000
4,0.405542,0.341129,0.759605,0.780338,0.623974,0.757710,0.00099997
5,0.389717,0.320080,0.721521,0.835129,0.630619,0.764070,0.00099989
6,0.375371,0.319442,0.746937,0.804899,0.632268,0.764500,0.00099975
7,0.363382,0.315390,0.725410,0.835014,0.630745,0.763583,0.00099955
8,0.362986,0.315418,0.761726,0.797977,0.635480,0.766063,0.00099930
9,0.354282,0.326361,0.674126,0.876343,0.611277,0.748921,0.00099899
10,0.346866,0.303908,0.784160,0.786508,0.648043,0.775993,0.00099863
11,0.348484,0.301690,0.727663,0.847646,0.641405,0.771464,0.00099821
12,0.343430,0.308596,0.746742,0.818494,0.641196,0.770548,0.00099774
13,0.335673,0.303903,0.737828,0.831909,0.642202,0.772758,0.00099721
14,0.338935,0.306410,0.778984,0.791856,0.645308,0.774084,0.00099662
15,0.329405,0.306046,0.765104,0.801996,0.641604,0.771596,0.00099598
16,0.330647,0.297945,0.769306,0.805451,0.649974,0.779194,0.00099528
17,0.322990,0.300595,0.762886,0.809161,0.646269,0.775988,0.00099453
18,0.326702,0.302950,0.790938,0.785073,0.649620,0.777770,0.00099373
19,0.322040,0.297337,0.774884,0.804510,0.651309,0.778123,0.00099286
20,0.317036,0.305435,0.767811,0.804998,0.646620,0.773914,0.00099195
21,0.319305,0.292945,0.766775,0.813553,0.653661,0.780877,0.00099097
22,0.317448,0.303789,0.783151,0.787892,0.643048,0.772156,0.00098995
23,0.314955,0.307073,0.729616,0.843615,0.638352,0.769828,0.00098886
24,0.317437,0.307099,0.773648,0.789254,0.640350,0.769655,0.00098773
25,0.313367,0.297749,0.741360,0.837462,0.647560,0.777370,0.00098654
26,0.310541,0.294269,0.771033,0.806412,0.651594,0.779076,0.00098529
27,0.310983,0.294753,0.790311,0.791080,0.654075,0.780308,0.00098399
28,0.307990,0.301494,0.785513,0.792158,0.650675,0.777378,0.00098264
29,0.304128,0.292487,0.789348,0.792515,0.653637,0.780986,0.00098123
30,0.303889,0.294376,0.776263,0.804991,0.651739,0.778619,0.00097977
31,0.303027,0.287606,0.763830,0.826811,0.658685,0.786034,0.00097825
32,0.298013,0.289089,0.759858,0.828570,0.656163,0.784741,0.00097668
33,0.305157,0.294300,0.758329,0.824109,0.653043,0.780884,0.00097506
34,0.300681,0.286308,0.765917,0.821140,0.657650,0.785427,0.00097339
35,0.295990,0.296016,0.750150,0.833842,0.651942,0.780372,0.00097166
36,0.294546,0.293568,0.754511,0.829189,0.652369,0.779706,0.00096988
37,0.299690,0.293730,0.781981,0.793595,0.651027,0.778965,0.00096804
38,0.292619,0.295993,0.778735,0.805164,0.655494,0.782136,0.00096616
39,0.295906,0.291442,0.778536,0.807978,0.657984,0.784646,0.00096422
40,0.290026,0.296764,0.781168,0.796928,0.651839,0.779524,0.00096223
41,0.287444,0.288293,0.757794,0.832171,0.656525,0.784719,0.00096019
42,0.291382,0.291805,0.785055,0.798127,0.655140,0.782379,0.00095810
43,0.283403,0.292697,0.771717,0.808357,0.654110,0.781293,0.00095595
44,0.292945,0.300001,0.768670,0.807472,0.649653,0.779210,0.00095376
45,0.289115,0.287051,0.777361,0.806227,0.657355,0.784887,0.00095151
46,0.291026,0.294304,0.780395,0.802886,0.654497,0.780413,0.00094922
47,0.282628,0.286019,0.763427,0.827081,0.660562,0.787643,0.00094687
48,0.288643,0.293505,0.764734,0.818670,0.654885,0.781359,0.00094447
49,0.283318,0.295643,0.763852,0.818394,0.653547,0.780183,0.00094203
50,0.280653,0.290493,0.780020,0.803960,0.656903,0.783065,0.00093953
51,0.287497,0.291223,0.771126,0.812997,0.656675,0.783046,0.00093699
52,0.284536,0.287718,0.779697,0.810230,0.659281,0.785172,0.00093439
53,0.286400,0.298216,0.791822,0.789308,0.653945,0.780122,0.00093175
54,0.282676,0.295198,0.785079,0.794900,0.657557,0.782263,0.00092906
55,0.280113,0.291701,0.788056,0.793663,0.657144,0.782295,0.00092632
56,0.276973,0.293478,0.764720,0.814896,0.653265,0.780815,0.00092354
57,0.274700,0.293986,0.806590,0.779519,0.657480,0.783071,0.00092071
58,0.281600,0.295328,0.768753,0.816639,0.654303,0.780490,0.00091783
59,0.272085,0.295323,0.799971,0.785848,0.657821,0.783205,0.00091490
60,0.274357,0.294095,0.793079,0.790490,0.657949,0.783581,0.00091193
61,0.268464,0.296547,0.773802,0.807344,0.654079,0.780541,0.00090891
62,0.274007,0.294502,0.781052,0.801957,0.657167,0.782816,0.00090584
63,0.270717,0.297768,0.798043,0.777619,0.653122,0.779480,0.00090273
64,0.269730,0.290393,0.795915,0.789862,0.658316,0.784486,0.00089958
65,0.269702,0.290080,0.792369,0.794329,0.657134,0.782980,0.00089638
66,0.269743,0.296269,0.764962,0.810607,0.649433,0.775494,0.00089313
67,0.270406,0.295501,0.774493,0.808508,0.655306,0.782868,0.00088985
68,0.263457,0.297162,0.775349,0.800017,0.652194,0.778923,0.00088651
69,0.266956,0.303640,0.788086,0.786173,0.649927,0.777239,0.00088314
70,0.263054,0.292093,0.775073,0.807750,0.656841,0.783374,0.00087972
71,0.265510,0.293849,0.761555,0.819941,0.654792,0.782162,0.00087626
72,0.264066,0.294173,0.784078,0.799179,0.658252,0.783189,0.00087276
73,0.259742,0.298818,0.778942,0.797234,0.653578,0.779673,0.00086922
74,0.259344,0.299786,0.766269,0.814072,0.653459,0.779669,0.00086563
75,0.263077,0.297635,0.774578,0.808518,0.654974,0.780678,0.00086201
76,0.269770,0.291514,0.780294,0.806870,0.659165,0.785122,0.00085834
77,0.261620,0.295520,0.778543,0.804468,0.655540,0.781661,0.00085463
78,0.260568,0.297364,0.783473,0.790779,0.654137,0.779053,0.00085089
79,0.255116,0.291109,0.778000,0.807683,0.660103,0.784471,0.00084710
80,0.258010,0.290713,0.776562,0.810386,0.659068,0.784164,0.00084328
81,0.256562,0.299312,0.786027,0.790713,0.654073,0.778878,0.00083942
82,0.255028,0.292048,0.779275,0.804401,0.659304,0.784309,0.00083552
83,0.257771,0.298792,0.766525,0.810637,0.652856,0.779044,0.00083158
84,0.260851,0.307203,0.780183,0.790584,0.649581,0.776003,0.00082760
85,0.256965,0.299944,0.779028,0.799772,0.655825,0.780733,0.00082359
86,0.256050,0.309468,0.793902,0.771693,0.645567,0.773719,0.00081954
87,0.252695,0.297377,0.782436,0.797747,0.655341,0.780699,0.00081546
88,0.251903,0.291921,0.768166,0.818430,0.658084,0.784040,0.00081134
89,0.251469,0.299368,0.790322,0.789736,0.654309,0.780667,0.00080719
